"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-17-7P596V5",65,24,88,29,31,22
"tRF-17-7PU9XWP",0,1,2,0,0,0
"tRF-17-7PVR31P",4,1,21,0,0,0
"tRF-17-7SERM4P",1,0,0,0,1,0
"tRF-17-7SERMLP",2,2,1,0,0,2
"tRF-17-7SHRMF5",1,3,0,0,1,0
"tRF-17-7SI7JP5",0,0,2,0,0,0
"tRF-17-7X9PN53",3,0,0,1,1,0
"tRF-17-7Y93Y05",0,0,0,1,0,0
"tRF-17-7Z2R14M",0,0,0,0,0,1
"tRF-17-7Z2R1HM",2,0,3,2,0,2
"tRF-17-7ZP33XJ",0,0,10,0,0,0
"tRF-17-82FNKKQ",0,0,0,2,0,0
"tRF-17-82FNPKQ",0,0,4,0,0,0
"tRF-17-839L5F5",0,0,2,0,0,0
"tRF-17-83ML5F5",10,5,42,14,4,16
"tRF-17-83RPFVI",0,0,0,0,0,1
"tRF-17-8639SV2",3,1,0,0,0,0
"tRF-17-863IP52",128,74,122,99,57,10
"tRF-17-8689SV2",79,87,407,77,85,71
"tRF-17-86K2SV2",1,0,6,0,0,0
"tRF-17-86K9SV2",7,6,2,4,1,3
"tRF-17-86S2P92",3,0,6,1,0,0
"tRF-17-86V8WPK",10,18,136,8,8,13
"tRF-17-86Z34J2",0,0,7,0,1,1
"tRF-17-87R718Q",0,0,1,0,0,0
"tRF-17-88481D2",5,3,1,4,1,0
"tRF-17-884U1D2",0,1,48,1,2,5
"tRF-17-8871K92",123,50,140,61,33,25
"tRF-17-88I26W4",0,1,0,0,0,0
"tRF-17-89Q867J",0,0,5,0,0,0
"tRF-17-8B8SOUM",2,0,6,0,0,0
"tRF-17-8BWSNKM",0,0,2,0,0,0
"tRF-17-8EKSPM5",0,0,1,0,0,0
"tRF-17-8HWVZ51",0,0,2,0,0,0
"tRF-17-8PLML35",0,0,7,1,0,1
