"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2562","hsa-miR-6848-3p","hsa-mir-6848","0","0","0","0","0","0"
"2563","hsa-miR-6849-5p","hsa-mir-6849","0","0","0","0","0","0"
"2564","hsa-miR-6849-3p","hsa-mir-6849","0","0","0","0","0","0"
"2565","hsa-miR-6850-5p","hsa-mir-6850","0","0","0","0","0","0"
"2566","hsa-miR-6850-3p","hsa-mir-6850","0","0","0","0","0","0"
"2567","hsa-miR-6851-5p","hsa-mir-6851","0","0","0","2","0","0"
"2568","hsa-miR-6851-3p","hsa-mir-6851","0","0","0","0","0","0"
"2569","hsa-miR-6852-5p","hsa-mir-6852","27","13","80","25","8","14"
"2570","hsa-miR-6852-3p","hsa-mir-6852","0","0","0","0","0","0"
"2571","hsa-miR-6853-5p","hsa-mir-6853","0","0","0","0","0","0"
"2572","hsa-miR-6853-3p","hsa-mir-6853","0","1","0","0","1","0"
"2573","hsa-miR-6854-5p","hsa-mir-6854","0","0","0","0","0","0"
"2574","hsa-miR-6854-3p","hsa-mir-6854","0","0","0","0","0","0"
"2575","hsa-miR-6855-5p","hsa-mir-6855","0","0","0","0","1","0"
"2576","hsa-miR-6855-3p","hsa-mir-6855","1","1","0","1","0","0"
"2577","hsa-miR-6856-5p","hsa-mir-6856","0","0","0","0","0","1"
"2578","hsa-miR-6856-3p","hsa-mir-6856","1","0","0","0","0","0"
"2579","hsa-miR-6857-5p","hsa-mir-6857","0","0","0","0","0","0"
"2580","hsa-miR-6857-3p","hsa-mir-6857","0","0","0","0","0","0"
"2581","hsa-miR-6858-5p","hsa-mir-6858","3","0","10","1","0","1"
"2582","hsa-miR-6858-3p","hsa-mir-6858","2","1","0","1","1","1"
"2591","hsa-miR-6860","hsa-mir-6860","0","0","0","0","0","0"
"2592","hsa-miR-6861-5p","hsa-mir-6861","1","0","0","1","0","2"
